user_name;hour;timezone
royshil"";"6";"None"
rustyrussell"";"22";"None"
CHH"";"15";"1"
jrtashjian"";"11";"-5"
sinisterchipmunk"";"21";"None"
IanSeyler"";"14";"-5"
diosmosis"";"20";"None"
yusuke"";"0";"9"
rmascarenhas"";"1";"-3"
davidfowl"";"23";"-8"
zdennis"";"15";"-5"
oyvindkinsey"";"10";"-8"
dionyziz"";"16";"2"
DouweM"";"17";"1"
skaes"";"8";"1"
brianc"";"9";"-6"
vicalloy"";"16";"8"
wdavidw"";"23";"1"
BjarniRunar"";"16";"0"
matthutchinson"";"22";"0"
domenic"";"23";"-5"
SaitoWu"";"17";"8"
mattgraham"";"19";"-5"
Swahvay"";"9";"-8"
m0mchil"";"5";"None"
rvagg"";"15";"10"
philfreo"";"17";"-8"
doug"";"18";"None"
stephenfin"";"19";"0"
mdp"";"10";"-8"
kai-koch"";"2";"1"
pascanur"";"8";"None"
al-the-x"";"12";"-5"
fabiosantoscode"";"15";"0"
Nijikokun"";"17";"-8"
vade"";"14";"None"
rs"";"16";"-8"
tjun"";"23";"9"
lcd047"";"1";"None"
wandenberg"";"12";"None"
kien"";"16";"None"
dscape"";"17";"0"
sellout"";"22";"-7"
samyk"";"0";"-8"
twobitlabs"";"10";"-8"
mbleigh"";"14";"-6"
twilson63"";"10";"-5"
bfroehle"";"13";"-8"
trptcolin"";"15";"-6"
cosmin"";"18";"-6"
atd"";"12";"1"
benbarnett"";"14";"0"
olivernn"";"12";"2"
piccolbo"";"10";"None"
ccgus"";"14";"-8"
yaauie"";"0";"-8"
vladikoff"";"20";"-5"
sj26"";"12";"8"
jgarzik"";"11";"-5"
ilikepi"";"16";"None"
bbenezech"";"16";"1"
mrdoob"";"0";"1"
mreiferson"";"11";"-5"
kriswallsmith"";"8";"-8"
shingara"";"17";"1"
wragen22"";"11";"None"
jasonjckn"";"21";"-8"
hal9002"";"8";"None"
gylaz"";"11";"-8"
lxn"";"5";"None"
Snuffleupagus"";"13";"1"
gnarf"";"15";"-5"
kyleconroy"";"23";"-8"
astrange"";"23";"None"
tom-seddon"";"21";"0"
axkibe"";"14";"1"
BillinghamJ"";"19";"0"
Ibie"";"15";"None"
gabebw"";"10";"-5"
elijahmanor"";"15";"-6"
devinrader"";"11";"None"
jbrownlee"";"3";"None"
haines"";"11";"0"
mhayes"";"11";"-8"
Freeaqingme"";"17";"1"
timvandermeij"";"23";"1"
shazron"";"14";"-8"
nelhage"";"11";"-8"
piotrj"";"16";"1"
toberndo"";"19";"1"
albertbellonch"";"19";"1"
danchoi"";"9";"-5"
charroch"";"18";"0"
marcelklehr"";"7";"None"
kangax"";"14";"-5"
scalessec"";"19";"-5"
sindhri"";"8";"None"
leafo"";"23";"-8"
codahale"";"15";"-8"
phpfunk"";"10";"-5"
anatoliychakkaev"";"0";"8"
akre54"";"21";"0"
softr8"";"13";"-6"
whoughton"";"19";"-5"
nostra13"";"0";"2"
rxaviers"";"16";"-3"
Bakual"";"22";"1"
sylvinus"";"17";"1"
chobie"";"2";"9"
bnoordhuis"";"0";"1"
astanway"";"11";"None"
Nikerabbit"";"13";"2"
afc163"";"18";"8"
stendec"";"1";"-5"
mkocher"";"19";"-8"
mmalecki"";"15";"1"
jberkel"";"1";"1"
jnicklas"";"13";"1"
mixu"";"17";"-8"
nathansearles"";"15";"-8"
drichard"";"19";"None"
bortoq"";"9";"None"
tilsammans"";"22";"1"
ariya"";"22";"None"
videlalvaro"";"15";"1"
eyecatchup"";"22";"1"
garybernhardt"";"15";"-8"
cheba"";"16";"2"
efirestone"";"11";"None"
aspires"";"18";"-5"
jakearchibald"";"7";"None"
karlseguin"";"6";"None"
jpmckinney"";"18";"-5"
yurydelendik"";"8";"None"
fogus"";"9";"-5"
dylanahsmith"";"21";"-5"
technicalpickles"";"11";"-5"
DavidChristiansen"";"0";"0"
gorakhargosh"";"4";"None"
rosejn"";"15";"0"
LaurentGomila"";"22";"1"
manuelbieh"";"12";"1"
yinkou"";"8";"1"
jcoyne"";"16";"-6"
rick"";"16";"-6"
arunagw"";"10";"1"
rowanj"";"0";"10"
wting"";"12";"-6"
stkim1"";"18";"9"
shiffman"";"19";"None"
nygard"";"17";"-7"
aemoncannon"";"0";"-5"
jcoglan"";"15";"0"
fesplugas"";"23";"1"
victorpimentel"";"0";"1"
leongersen"";"12";"1"
stof"";"11";"1"
peyton"";"16";"-5"
justinmayer"";"9";"None"
defnull"";"15";"1"
robertd"";"22";"-7"
Kilian"";"10";"1"
sbellity"";"18";"1"
augustohp"";"1";"-3"
lukeapage"";"14";"None"
cyrilmottier"";"17";"1"
kpumuk"";"12";"-5"
mloughran"";"12";"0"
koenbok"";"2";"-8"
dz0ny"";"22";"1"
codeimpossible"";"21";"None"
cumulusdev"";"4";"None"
max99x"";"4";"-8"
mattsears"";"20";"-5"
jaysalvat"";"13";"1"
hSATAC"";"5";"8"
rtsan"";"14";"9"
yas375"";"11";"2"
davidpfahler"";"11";"None"
tonklon"";"0";"None"
mhils"";"17";"1"
socketstream"";"19";"0"
kanwei"";"0";"-5"
andreyvit"";"14";"6"
Kapin"";"2";"-5"
tuulos"";"22";"-8"
dabit"";"11";"-6"
bketelsen"";"14";"-5"
snusnu"";"18";"1"
joemccann"";"12";"-5"
klen"";"11";"3"
sublimator"";"13";"7"
steipete"";"16";"1"
seanpowell"";"12";"None"
tjfontaine"";"15";"-8"
jgoulah"";"22";"-5"
skwp"";"9";"-6"
omz"";"14";"1"
rembo10"";"2";"None"
ahorn"";"3";"None"
cjerdonek"";"21";"-8"
ayush"";"2";"None"
rentzsch"";"21";"-6"
antonkovalyov"";"16";"-8"
flores"";"12";"-8"
flavorjones"";"13";"-5"
orta"";"11";"-5"
mattt"";"9";"-8"
josh"";"14";"-6"
nouiz"";"13";"None"
DavidDurman"";"18";"1"
tony"";"10";"8"
mattn"";"22";"9"
hpique"";"17";"1"
m2ym"";"3";"None"
pablohoffman"";"18";"-3"
shukydvir"";"0";"2"
ZhangYiJiang"";"14";"8"
seyhunak"";"10";"2"
asmeurer"";"16";"-6"
Southern"";"13";"-5"
olivierverdier"";"17";"1"
valdean"";"12";"-8"
cezarsa"";"0";"-3"
nailxx"";"2";"None"
rwaldron"";"14";"-5"
vitch"";"12";"0"
paularmstrong"";"16";"-8"
preston"";"18";"-6"
xordoquy"";"23";"1"
szTheory"";"9";"None"
xxv"";"17";"-5"
rspilker"";"14";"None"
mamcx"";"16";"-5"
ohrite"";"14";"-8"
tuupola"";"23";"2"
stuarthalloway"";"8";"-5"
gregbell"";"17";"-8"
mmaiza"";"12";"None"
remy"";"15";"0"
keymon"";"5";"None"
itofzo"";"3";"None"
thomasc"";"5";"None"
tpope"";"13";"-5"
tanx"";"10";"None"
taylorotwell"";"4";"-6"
ajillion"";"7";"None"
Magnus-G"";"12";"None"
palewire"";"18";"-8"
Nami-Doc"";"4";"None"
mikedeboer"";"12";"1"
slembcke"";"16";"-6"
ljharb"";"23";"-8"
sourrust"";"23";"-7"
tzi"";"16";"1"
bavarious"";"20";"None"
kriskowal"";"15";"-8"
myleshorton"";"16";"None"
shatsar"";"13";"-8"
ScottDowne"";"12";"None"
kizu"";"19";"3"
danheberden"";"12";"-8"
ojiikun"";"15";"None"
franciscoj"";"10";"1"
dangra"";"13";"-3"
gjtorikian"";"14";"-8"
phstc"";"10";"-3"
olado"";"0";"-5"
nramirezuy"";"15";"-3"
Robdel12"";"23";"-5"
phinze"";"13";"-6"
metajack"";"9";"-7"
jejacks0n"";"23";"-7"
fperez"";"15";"-8"
jasny"";"1";"1"
warrendholmes"";"22";"2"
1602"";"9";"None"
endtwist"";"19";"None"
matomesc"";"1";"-5"
Birkemose"";"4";"None"
paulirish"";"13";"-8"
Benjamin-Dobell"";"10";"10"
evilstreak"";"16";"0"
murtaugh"";"16";"-5"
technoweenie"";"10";"-7"
eligrey"";"14";"-5"
bigspotteddog"";"19";"None"
creationix"";"11";"-6"
dsaff"";"10";"-5"
codeguy"";"14";"-5"
philsturgeon"";"19";"2"
toland"";"11";"-6"
burns"";"11";"-5"
zachleat"";"23";"-6"
eighthave"";"17";"-5"
tbosch"";"17";"-8"
watsonian"";"13";"-6"
farinspace"";"0";"-6"
nicktelford"";"12";"0"
sikachu"";"13";"-5"
iosdeveloper"";"13";"None"
Diaoul"";"21";"1"
mtitolo"";"10";"-8"
nrs135"";"17";"1"
jeromelebel"";"0";"1"
ghostdance"";"8";"None"
rcherny"";"16";"-5"
grootjans"";"22";"1"
davedelong"";"10";"-8"
tenderlove"";"11";"-8"
sgiehl"";"23";"1"
visionmedia"";"9";"-8"
stympy"";"8";"-8"
mohans"";"12";"-8"
jyr"";"11";"None"
wesbaker"";"12";"-5"
ChrisJohnsen"";"3";"-6"
fluffle"";"21";"0"
jasl8r"";"12";"None"
adamgit"";"8";"None"
tamland"";"6";"None"
aparajita"";"15";"None"
JamesDullaghan"";"13";"-8"
easternbloc"";"11";"0"
chimney-sweeper"";"16";"None"
scottjehl"";"11";"-6"
ole"";"14";"1"
ryantenney"";"17";"-5"
imakewebthings"";"15";"-8"
bowrocker"";"6";"None"
arashpayan"";"18";"-8"
databyte"";"19";"-5"
Snugug"";"10";"-5"
nathansmith"";"10";"-6"
indirect"";"0";"-8"
koriroys"";"19";"-6"
cescoffier"";"18";"1"
rsanheim"";"13";"-6"
jigish"";"18";"-8"
jasonrudolph"";"10";"-5"
huyng"";"2";"None"
kmalakoff"";"16";"-8"
geuis"";"12";"-8"
jflitton"";"14";"None"
udzura"";"20";"9"
jonathantneal"";"14";"-8"
kaleworsley"";"10";"12"
behrad"";"1";"None"
phproberto"";"3";"1"
shtylman"";"10";"None"
tommcfarlin"";"8";"-5"
warrenm"";"7";"-8"
nirav"";"10";"None"
cowboy"";"12";"-5"
chneukirchen"";"18";"1"
mlharvest"";"13";"None"
tomislav"";"16";"1"
ksheedlo"";"16";"-7"
raziel"";"20";"None"
daffl"";"15";"-7"
timvieira"";"12";"-5"
javan"";"9";"-5"
razorjack"";"1";"1"
croaky"";"22";"-8"
sidorares"";"16";"10"
swalkinshaw"";"16";"-5"
mrded"";"0";"0"
tmort"";"8";"-5"
stffn"";"22";"1"
michaeltyson"";"17";"None"
albertotretti"";"16";"None"
mwbrooks"";"15";"-8"
janl"";"17";"1"
groys"";"19";"None"
HenrikJoreteg"";"15";"-8"
jelmer"";"1";"1"
codecomputerlove"";"20";"0"
TheHydroImpulse"";"23";"-7"
mbebenita"";"14";"None"
andreberg"";"1";"1"
L2G"";"16";"-8"
lewish"";"23";"0"
dbushell"";"14";"0"
draeton"";"23";"-5"
andris9"";"15";"2"
martey"";"3";"-5"
ametaireau"";"15";"1"
AlexBaranosky"";"21";"-8"
pwmckenna"";"16";"-8"
zedshaw"";"16";"-8"
jashkenas"";"10";"-5"
rniemeyer"";"8";"-6"
yokolet"";"20";"None"
JosePedroDias"";"12";"0"
hatefulcrawdad"";"9";"-8"
minad"";"22";"1"
jonathanong"";"16";"-8"
wmertens"";"6";"None"
tmm1"";"18";"-8"
fcarneiro"";"9";"None"
darkk"";"14";"3"
Raimondi"";"23";"None"
chebyte"";"17";"-3"
takoi"";"6";"None"
jwhitley"";"11";"-8"
sidestepism"";"15";"9"
sporkd"";"16";"-8"
onursumer"";"10";"None"
gregs1104"";"21";"-5"
ijl"";"17";"-5"
lennartcl"";"11";"1"
shpakovski"";"13";"1"
nz"";"17";"-7"
ashtuchkin"";"22";"-8"
viatropos"";"22";"-8"
SomMeri"";"3";"None"
binarydud"";"14";"-6"
Antaris"";"1";"None"
samandmoore"";"17";"-5"
enyo"";"1";"8"
justinfrench"";"8";"10"
bootstraponline"";"10";"None"
chjj"";"11";"-6"
ddollar"";"15";"-5"
rickynils"";"16";"1"
kvz"";"16";"1"
brettz9"";"9";"8"
epeli"";"16";"2"
tmilewski"";"13";"-5"
nschonni"";"16";"-5"
sintaxi"";"15";"-8"
OliverLetterer"";"10";"1"
gnarf37"";"10";"None"
jiedan"";"21";"8"
jaz303"";"23";"0"
joliss"";"14";"None"
Anthony25"";"22";"1"
rmtheis"";"21";"-8"
getfatday"";"14";"-6"
jeremyf"";"15";"-5"
fjakobs"";"15";"1"
dgrunwald"";"16";"1"
raggi"";"13";"-8"
glebm"";"17";"1"
nicoulaj"";"16";"1"
LazarSoft"";"8";"None"
Frug"";"17";"-5"
quantmind"";"18";"0"
mike-burns"";"16";"1"
fpillet"";"0";"1"
vanderhoorn"";"2";"None"
rwarasaurus"";"16";"0"
michael-grunder"";"11";"None"
apetresc"";"12";"-5"
eternicode"";"0";"-5"
ctran"";"9";"-8"
drudge"";"11";"-5"
SteveSanderson"";"3";"None"
tubbo"";"0";"-5"
dkowis"";"15";"-6"
mitchellh"";"11";"-8"
jkaving"";"11";"None"
OhaiBBQ"";"16";"-8"
tmcw"";"17";"-5"
seb-m"";"4";"1"
tzuryby"";"7";"2"
bitwiseman"";"12";"None"
Kurry"";"14";"-5"
majek"";"8";"None"
jhy"";"16";"-8"
MoOx"";"8";"1"
MathieuPOUX"";"6";"None"
seejohnrun"";"11";"-5"
sergeche"";"0";"3"
alexyoung"";"17";"0"
brandonaaron"";"11";"None"
hagberg"";"9";"-7"
rafaelgg"";"9";"1"
rmm5t"";"10";"-5"
rwldrn"";"11";"None"
DaRaFF"";"20";"1"
hegemonic"";"8";"-8"
andreafabrizi"";"11";"1"
lukas-vlcek"";"15";"1"
rsofaer"";"10";"None"
Felixyz"";"5";"None"
chrisboulton"";"21";"10"
c9developer"";"4";"None"
keithw"";"2";"-5"
carljm"";"17";"-7"
smileyj68"";"10";"-8"
premedios"";"13";"0"
banister"";"2";"1"
DmitryBaranovskiy"";"11";"10"
digitalBush"";"0";"-5"
jhough10"";"21";"None"
micho"";"13";"1"
Jacobkg"";"21";"None"
micha"";"16";"-5"
ataulm"";"22";"0"
jeromeetienne"";"13";"1"
Tahnan"";"12";"None"
drogus"";"13";"1"
jnwhiteh"";"14";"None"
gmoledina"";"0";"-5"
mariusaeriksen"";"9";"-8"
mvanholstyn"";"23";"-5"
laverdet"";"15";"None"
clintjhill"";"10";"-7"
FagnerMartinsBrack"";"7";"None"
ztellman"";"15";"-8"
jodosha"";"15";"1"
joshaven"";"14";"-5"
cameronmcefee"";"16";"-8"
cburroughs"";"14";"-5"
cowtowncoder"";"20";"-8"
eddiemachado"";"16";"-8"
devongovett"";"22";"-8"
ripienaar"";"11";"0"
gibson042"";"12";"-5"
JangoSteve"";"12";"-5"
ryanve"";"16";"-5"
kevinclark"";"14";"None"
mrsweaters"";"10";"-8"
hassox"";"10";"None"
pauldix"";"15";"-5"
tkahn"";"14";"1"
abotalov"";"23";"2"
scanny"";"0";"-8"
chikamichi"";"16";"1"
detro"";"23";"0"
Pita"";"10";"0"
brycebaril"";"10";"-8"
JamieAppleseed"";"16";"1"
gauravmc"";"22";"-5"
miripiruni"";"23";"3"
alganet"";"21";"-3"
davidhurley"";"21";"None"
seancolyer"";"17";"None"
alfhenrik"";"18";"10"
phiggins42"";"6";"None"
jamesgolick"";"9";"-8"
roidrage"";"17";"1"
arthurnn"";"11";"-5"
nashby"";"23";"2"
purplecabbage"";"16";"-8"
gitster"";"15";"-8"
eleith"";"1";"-6"
dyve"";"7";"1"
67726e"";"21";"-5"
jpfuentes2"";"21";"-5"
jonatack"";"20";"1"
sschuberth"";"22";"1"
mostafaeweda"";"15";"2"
geekq"";"17";"1"
jsmestad"";"12";"-7"
winston"";"0";"8"
csfrancis"";"10";"-5"
vlidholt"";"16";"-8"
inolen"";"0";"-8"
chirag04"";"3";"None"
jeffbcross"";"10";"-8"
rayh"";"17";"10"
n8han"";"23";"-5"
MikeOrtiz"";"20";"None"
waruts"";"8";"None"
nevir"";"19";"-8"
tmpvar"";"18";"-7"
jbalogh"";"10";"-8"
mweibel"";"17";"1"
faceleg"";"0";"12"
kaepora"";"16";"-5"
raganwald"";"10";"-5"
bdarnell"";"19";"None"
JohnMcLear"";"18";"0"
trobrock"";"9";"-8"
laanwj"";"9";"1"
allending"";"10";"8"
packagethief"";"15";"-6"
kevinsawicki"";"9";"-8"
devn"";"20";"-6"
sergi"";"16";"1"
PsychoH13"";"23";"-8"
tombell"";"22";"0"
dnkoutso"";"16";"None"
tdreyno"";"9";"-8"
PragTob"";"17";"1"
erikstmartin"";"15";"-5"
iambus"";"9";"-6"
jcubic"";"19";"1"
denschub"";"0";"1"
brianleroux"";"0";"-6"
soffes"";"10";"-8"
gazay"";"8";"3"
fidothe"";"13";"1"
pepelsbey"";"1";"3"
Kami"";"23";"1"
mdordal"";"14";"-8"
steffentchr"";"23";"1"
qdot"";"17";"-8"
satyr"";"5";"9"
mbostock"";"9";"-8"
cemerick"";"11";"-5"
maxwell"";"12";"-8"
Cobus"";"1";"None"
qrush"";"22";"-5"
bryckbost"";"14";"-5"
rubnov"";"4";"None"
andrewplummer"";"0";"9"
betweenbrain"";"6";"None"
markrcote"";"10";"None"
brianchirls"";"1";"-5"
os97673"";"23";"3"
technomancy"";"20";"-8"
BigZaphod"";"11";"None"
tjw"";"15";"-8"
diox"";"14";"1"
trondn"";"11";"1"
trevnorris"";"14";"-8"
loganb"";"11";"-8"
dj2"";"9";"-5"
chirayuk"";"16";"-8"
loganj"";"9";"-8"
alvins82"";"0";"None"
ervandew"";"7";"-8"
blynn"";"22";"None"
pakerfeldt"";"23";"None"
greg0ire"";"14";"1"
kusma"";"21";"1"
caolan"";"12";"0"
majutsushi"";"17";"12"
headwinds"";"9";"-5"
jaydee3"";"16";"1"
lucasmazza"";"14";"-3"
tebriel"";"15";"-5"
HunterHillegas"";"13";"None"
stefankroes"";"9";"1"
catsby"";"14";"-6"
elabs-dev"";"17";"1"
samvermette"";"0";"-5"
harukizaemon"";"23";"10"
madler"";"23";"None"
issackelly"";"8";"-8"
apotonick"";"12";"10"
joshuarh"";"14";"None"
jonboulle"";"10";"-8"
addyosmani"";"13";"0"
squ1b3r"";"17";"5"
slackersoft"";"11";"-8"
robvdveer"";"11";"None"
swankjesse"";"11";"-5"
bl8"";"17";"1"
cadecairos"";"16";"-5"
vsizov"";"17";"2"
superjoe30"";"16";"-5"
imkira"";"23";"9"
jistr"";"13";"1"
marcuswestin"";"14";"-8"
posabsolute"";"9";"-5"
jamierumbelow"";"16";"0"
xk"";"4";"None"
Mottie"";"6";"None"
aaugustin"";"22";"1"
miekg"";"10";"0"
logicalparadox"";"11";"None"
Stereobit"";"23";"0"
romainneutron"";"12";"1"
joshaber"";"15";"-5"
benpickles"";"15";"0"
blommegard"";"12";"1"
jaredhanson"";"8";"-8"
hueniverse"";"0";"-8"
Aqua-Ye"";"12";"1"
kongo2002"";"0";"1"
mduan"";"11";"None"
mwrock"";"2";"-8"
gskinner"";"12";"None"
danicgross"";"14";"None"
hiremaga"";"19";"-8"
jeremyclark13"";"11";"None"
durhamka"";"11";"-7"
spadgos"";"10";"1"
shimonchayim"";"15";"None"
gruns"";"20";"None"
tonyarnold"";"11";"10"
ivanov"";"14";"None"
lucasallan"";"16";"-8"
kalessin"";"10";"None"
Randgalt"";"16";"-5"
thegoleffect"";"9";"-8"
petebacondarwin"";"21";"0"
buymeasoda"";"20";"-8"
gmaxwell"";"14";"None"
jankuca"";"0";"1"
hsbt"";"10";"9"
nixme"";"14";"-8"
teeparham"";"10";"-7"
jboyens"";"12";"-8"
c9s"";"19";"8"
ifandelse"";"16";"-5"
psmolenski"";"5";"None"
prb"";"2";"-8"
michelf"";"15";"-5"
ecoffey"";"16";"-7"
PaulGuo"";"20";"None"
tolgaek"";"19";"None"
scottmac"";"8";"-8"
steveklabnik"";"11";"-8"
paulbjensen"";"23";"0"
Haacked"";"9";"-8"
jezdez"";"15";"1"
agatronic"";"13";"None"
berkerpeksag"";"12";"2"
tgriesser"";"10";"-5"
fcambus"";"23";"1"
gka"";"6";"-5"
wch"";"12";"None"
ugol"";"0";"1"
lehni"";"22";"1"
mikesherov"";"11";"None"
norman"";"12";"-3"
damianh"";"14";"1"
shane42"";"4";"None"
biokys"";"10";"1"
catesandrew"";"10";"-8"
numan"";"15";"-8"
marchaefner"";"0";"1"
skamille"";"20";"-5"
kaishin"";"4";"None"
gravityonmars"";"14";"None"
rzwitserloot"";"0";"1"
cobyism"";"11";"0"
nateps"";"17";"-8"
rnicholus"";"20";"None"
kurtvarner"";"14";"None"
capitaomorte"";"11";"None"
xpaulbettsx"";"15";"None"
abraham"";"17";"-8"
ylechelle"";"11";"1"
MrZYX"";"23";"1"
tkf"";"12";"None"
mcmire"";"17";"-7"
eguven"";"9";"None"
kballard"";"18";"-8"
stuhood"";"12";"None"
caboteria"";"19";"-5"
joshk"";"15";"1"
mansilladev"";"11";"None"
lazyatom"";"16";"0"
dominictarr"";"23";"12"
AliSoftware"";"23";"1"
BYVoid"";"1";"8"
mjsarfatti"";"0";"1"
JCook21"";"21";"-5"
ahadrana"";"13";"None"
gcamp"";"12";"None"
AD7six"";"11";"1"
owenb"";"18";"0"
ObjColumnist"";"4";"None"
elvisimprsntr"";"21";"-5"
njonsson"";"9";"-6"
tobyzerner"";"19";"None"
segiddins"";"16";"-6"
ChrisWren"";"21";"-8"
markelog"";"9";"None"
robrighter"";"17";"-5"
radar"";"11";"10"
naomiblack"";"16";"None"
mantognini"";"22";"1"
mtodd"";"15";"-8"
Carreau"";"18";"1"
railsjedi"";"14";"-8"
remogloor"";"12";"1"
clang13"";"11";"None"
asenderzon"";"16";"None"
carhartl"";"21";"1"
demerphq"";"18";"1"
nmjesus"";"16";"0"
slang800"";"12";"None"
spastorino"";"16";"-3"
xdissent"";"15";"-6"
Nyx0uf"";"14";"1"
djcp"";"14";"-5"
robbiehanson"";"16";"-8"
martynsmith"";"15";"12"
lusis"";"14";"-5"
rupa"";"23";"-5"
weavejester"";"14";"0"
michaelfairley"";"21";"-6"
jeremeamia"";"16";"-8"
acslater00"";"10";"-5"
josephg"";"16";"-8"
dizzyd"";"17";"-6"
robocoder"";"10";"-5"
LeaVerou"";"19";"2"
pixelb"";"12";"0"
mikemaccana"";"13";"0"
cyco"";"4";"None"
dannycoates"";"11";"-8"
lannymcnie"";"15";"-7"
josephschmitt"";"11";"-8"
bouk"";"17";"1"
kryali"";"16";"-8"
scottjg"";"16";"-8"
ionelmc"";"21";"2"
brandonheller"";"1";"-8"
benatkin"";"2";"-7"
chester89"";"0";"3"
parndt"";"9";"12"
dcramer"";"14";"-8"
vbabiy"";"10";"-5"
takluyver"";"23";"0"
jswartwood"";"1";"-5"
mathiasbynens"";"13";"1"
ayoung"";"23";"-8"
troelskn"";"13";"1"
ipeychev"";"0";"None"
wycats"";"22";"-8"
stephencelis"";"16";"-8"
wwilsman"";"12";"None"
gpjt"";"20";"0"
artm"";"10";"1"
jbdeboer"";"11";"-8"
russross"";"14";"-7"
mrclay"";"20";"-5"
oakho"";"14";"1"
netflixgithub"";"13";"None"
madrobby"";"9";"-5"
andrew"";"9";"0"
basdewachter"";"3";"None"
plasticboy"";"9";"-5"
ICSharpCodeBuildServer"";"12";"None"
rspeer"";"17";"-5"
atesgoral"";"3";"-5"
fred-wang"";"14";"1"
vlasovskikh"";"22";"3"
pilot"";"23";"2"
gilbitron"";"16";"0"
msmathers"";"17";"-6"
AArnott"";"21";"-8"
ricardoquesada"";"16";"-8"
tomasAlabes"";"16";"-8"
nickl-"";"3";"2"
mzgol"";"18";"1"
